[2025-06-01 09:30:18] id_pedido recibido: 0, id_usuario: 44
[2025-06-01 09:30:31] id_pedido recibido: 0, id_usuario: 44
[2025-06-01 09:32:48] id_pedido recibido: 0, id_usuario: 44
[2025-06-01 09:32:57] id_pedido recibido: 205, id_usuario: 44
[2025-06-01 09:33:05] id_pedido recibido: 205, id_usuario: 44
[2025-06-01 09:33:38] id_pedido recibido: 205, id_usuario: 44
[2025-06-01 09:37:48] id_pedido recibido: 208, id_usuario: 44
[2025-06-01 09:38:11] id_pedido recibido: 208, id_usuario: 44
[2025-06-01 09:39:57] id_pedido recibido: 208, id_usuario: 44
[2025-06-01 09:52:41] id_pedido recibido: 0, id_usuario: 45
[2025-06-01 09:56:53] id_pedido recibido: 211, id_usuario: 45
[2025-06-02 04:23:08] id_pedido recibido: 212, id_usuario: 46
[2025-06-02 04:31:22] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:32:09] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:39:23] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:39:37] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:39:41] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:39:47] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:39:49] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 04:42:31] id_pedido recibido: 0, id_usuario: 46
[2025-06-02 14:15:26] id_pedido recibido: 0, id_usuario: 54
[2025-06-02 22:09:05] id_pedido recibido: 214, id_usuario: 59
[2025-06-02 22:11:01] id_pedido recibido: 215, id_usuario: 59
